Movie,vote_average,revenue,,,,,,,,,,,
Toy Story,7.7,373554033,,,,vote_average,revenue,,,,,,
,,,,,549,109237451.2,-104501249.2,,,,,,
,,,,,550,111804669.8,-110080797.8,,,,,,
,,,,,551,91266921.35,-72712973.35,,,,,,
,,,,,552,109237451.2,364934354.8,,,,,,
,,,,,553,111804669.8,-81627158.77,,,,,,
,,,,,554,104103014.1,-26365125.11,,,,,,
,,,,,555,93834139.91,-83827333.91,,,,,,
,,,,,556,91266921.35,-70300277.35,,,,,,
,,,,,557,83565265.7,-70565265.7,,,,,,
,,,,,558,111804669.8,-89560462.77,,,,,,
,,,,,559,106670232.7,-71969941.67,,,,,,
,,,,,560,98968577.01,-95718577.01,,,,,,
,,,,,561,96401358.46,-11969733.46,,,,,,
,,,,,562,104103014.1,-1794125.114,,,,,,
,,,,,563,111804669.8,-109622682.8,,,,,,
,,,,,564,101535795.6,-8712249.562,,,,,,
,,,,,565,73296391.49,86477153.51,,,,,,
,,,,,566,98968577.01,-66995328.01,,,,,,
,,,,,567,16817583.35,-10484448.35,,,,,,
,,,,,568,65594735.83,-53059918.83,,,,,,
,,,,,569,73296391.49,13135608.51,,,,,,
,,,,,570,73296391.49,-54542953.49,,,,,,
,,,,,571,101535795.6,-90132266.56,,,,,,
,,,,,572,96401358.46,119461333.5,,,,,,
,,,,,573,73296391.49,-47504081.49,,,,,,
,,,,,574,93834139.91,88465860.09,,,,,,
,,,,,575,93834139.91,88465860.09,,,,,,
,,,,,576,93834139.91,-60034139.91,,,,,,
,,,,,577,98968577.01,-73464064.01,,,,,,
,,,,,578,98968577.01,-38045597.01,,,,,,
,,,,,579,98968577.01,-95165279.01,,,,,,
,,,,,580,73296391.49,-72117389.49,,,,,,
,,,,,581,93834139.91,56165860.09,,,,,,
,,,,,582,104103014.1,-79658893.11,,,,,,
,,,,,583,55325861.63,74506527.37,,,,,,
,,,,,584,52758643.07,-4665432.075,,,,,,
,,,,,585,104103014.1,-101599185.1,,,,,,
,,,,,586,57893080.18,262796213.8,,,,,,
,,,,,587,83565265.7,156465828.3,,,,,,
,,,,,588,73296391.49,65703608.51,,,,,,
,,,,,589,86132484.25,10767515.75,,,,,,
,,,,,590,57893080.18,12306919.82,,,,,,
,,,,,591,101535795.6,-4735795.562,,,,,,
,,,,,592,78430828.59,8569171.406,,,,,,
,,,,,593,91266921.35,41733078.65,,,,,,
,,,,,594,83565265.7,196434734.3,,,,,,
,,,,,595,83565265.7,-38838621.7,,,,,,
,,,,,596,98968577.01,82845192.99,,,,,,
,,,,,597,39922550.31,-24751074.31,,,,,,
,,,,,598,57893080.18,-11848680.18,,,,,,
,,,,,599,70729172.94,85833966.06,,,,,,
,,,,,600,106670232.7,363983767.3,,,,,,
,,,,,601,65594735.83,122289271.2,,,,,,
,,,,,602,21952020.45,66035034.55,,,,,,
,,,,,603,70729172.94,30641844.06,,,,,,
,,,,,604,88699702.8,-88546547.8,,,,,,
,,,,,605,86132484.25,187420107.8,,,,,,
,,,,,606,98968577.01,-69788297.01,,,,,,
,,,,,607,86132484.25,19100206.75,,,,,,
,,,,,608,83565265.7,-70761960.7,,,,,,
,,,,,609,93834139.91,79212523.09,,,,,,
,,,,,610,96401358.46,-20895502.46,,,,,,
,,,,,611,55325861.63,64392341.37,,,,,,
,,,,,612,65594735.83,75452443.17,,,,,,
,,,,,613,75863610.04,-72170774.04,,,,,,
,,,,,614,63027517.28,-37222810.28,,,,,,
,,,,,615,68161954.39,-58780694.39,,,,,,
,,,,,616,47624205.97,-36158117.97,,,,,,
,,,,,617,50191424.52,-18203861.52,,,,,,
,,,,,618,98968577.01,-98645602.01,,,,,,
,,,,,619,63027517.28,115100242.7,,,,,,
,,,,,620,91266921.35,-68064187.35,,,,,,
,,,,,621,86132484.25,-85543180.25,,,,,,
,,,,,622,27086457.56,-22556614.56,,,,,,
,,,,,623,78430828.59,-77774081.59,,,,,,
,,,,,624,63027517.28,-33546089.28,,,,,,
,,,,,625,78430828.59,-28362518.59,,,,,,
,,,,,626,68161954.39,-31761594.39,,,,,,
,,,,,627,106670232.7,-102995031.7,,,,,,
,,,,,628,86132484.25,-73002135.25,,,,,,
,,,,,629,104103014.1,-62148017.11,,,,,,
,,,,,630,57893080.18,-37833029.18,,,,,,
,,,,,631,42489768.87,-41957114.87,,,,,,
,,,,,632,60460298.73,-56351203.73,,,,,,
,,,,,633,86132484.25,-44901685.25,,,,,,
,,,,,634,65594735.83,52468568.17,,,,,,
,,,,,635,78430828.59,224279786.4,,,,,,
,,,,,636,96401358.46,-36401358.46,,,,,,
,,,,,637,65594735.83,75212811.17,,,,,,
,,,,,638,96401358.46,-92834721.46,,,,,,
,,,,,639,21952020.45,-14711183.45,,,,,,
,,,,,640,32220894.66,-14241155.66,,,,,,
,,,,,641,78430828.59,-77638998.59,,,,,,
,,,,,642,78430828.59,-72504700.59,,,,,,
,,,,,643,37355331.76,99530435.24,,,,,,
,,,,,644,91266921.35,-63182564.35,,,,,,
,,,,,645,39922550.31,-39865298.31,,,,,,
,,,,,646,68161954.39,-38926601.39,,,,,,
,,,,,647,80998047.15,-13314058.15,,,,,,
,,,,,648,83565265.7,-33406121.7,,,,,,
,,,,,649,101535795.6,162384384.4,,,,,,
,,,,,650,75863610.04,-75836256.04,,,,,,
,,,,,651,42489768.87,-34936663.87,,,,,,
,,,,,652,60460298.73,-57560298.73,,,,,,
,,,,,653,-3720165.068,4199264.068,,,,,,
,,,,,654,70729172.94,-36056077.94,,,,,,
,,,,,655,73296391.49,155778132.5,,,,,,
,,,,,656,80998047.15,143014186.9,,,,,,
,,,,,657,19384801.9,145123264.1,,,,,,
,,,,,658,68161954.39,-68151654.39,,,,,,
,,,,,659,55325861.63,-55281861.63,,,,,,
,,,,,660,21952020.45,216255101.5,,,,,,
,,,,,661,101535795.6,151176305.4,,,,,,
,,,,,662,78430828.59,220857776.4,,,,,,
,,,,,663,88699702.8,156976443.2,,,,,,
,,,,,664,91266921.35,498123617.6,,,,,,
,,,,,665,55325861.63,-46980805.63,,,,,,
,,,,,666,98968577.01,72151751.99,,,,,,
,,,,,667,68161954.39,-19992798.39,,,,,,
,,,,,668,83565265.7,-4451180.698,,,,,,
,,,,,669,83565265.7,-38703078.7,,,,,,
,,,,,670,78430828.59,-51757586.59,,,,,,
,,,,,671,42489768.87,45350273.13,,,,,,
,,,,,672,50191424.52,-27046925.52,,,,,,
,,,,,673,45056987.42,-724972.4188,,,,,,
,,,,,674,80998047.15,55984786.85,,,,,,
,,,,,675,21952020.45,-20265591.45,,,,,,
,,,,,676,60460298.73,-34979808.73,,,,,,
,,,,,677,73296391.49,241860017.5,,,,,,
,,,,,678,80998047.15,-75281967.15,,,,,,
,,,,,679,98968577.01,100231423,,,,,,
,,,,,680,88699702.8,-45387408.8,,,,,,
,,,,,681,111804669.8,14412270.23,,,,,,
,,,,,682,93834139.91,37623542.09,,,,,,
,,,,,683,73296391.49,-12768518.49,,,,,,
,,,,,684,57893080.18,-42173971.18,,,,,,
,,,,,685,106670232.7,2753415.335,,,,,,
,,,,,686,42489768.87,-26489768.87,,,,,,
,,,,,687,80998047.15,-74315949.15,,,,,,
,,,,,688,11683146.24,-11673064.24,,,,,,
,,,,,689,91266921.35,-83228860.35,,,,,,
,,,,,690,86132484.25,-74111212.25,,,,,,
,,,,,691,91266921.35,166583200.6,,,,,,
,,,,,692,57893080.18,67693053.82,,,,,,
,,,,,693,98968577.01,53976082.99,,,,,,
,,,,,694,57893080.18,-53893080.18,,,,,,
,,,,,695,75863610.04,-75237553.04,,,,,,
,,,,,696,127207981.1,-126375246.1,,,,,,
,,,,,697,104103014.1,-104103013.1,,,,,,
,,,,,698,106670232.7,-94137455.67,,,,,,
,,,,,699,73296391.49,-59296391.49,,,,,,
,,,,,700,47624205.97,-41999923.97,,,,,,
,,,,,701,63027517.28,-56545322.28,,,,,,
,,,,,702,80998047.15,-75207599.15,,,,,,
,,,,,703,80998047.15,4301952.854,,,,,,
,,,,,704,75863610.04,175349060,,,,,,
,,,,,705,65594735.83,-55053212.83,,,,,,
,,,,,706,60460298.73,-57817315.73,,,,,,
,,,,,707,86132484.25,-40215715.25,,,,,,
,,,,,708,106670232.7,-63568638.67,,,,,,
,,,,,709,93834139.91,-25127146.91,,,,,,
,,,,,710,86132484.25,35081892.75,,,,,,
,,,,,711,96401358.46,-63540222.46,,,,,,
,,,,,712,83565265.7,-25565265.7,,,,,,
,,,,,713,11683146.24,39693714.76,,,,,,
,,,,,714,114371888.3,149746312.7,,,,,,
,,,,,715,52758643.07,-49449222.07,,,,,,
,,,,,716,70729172.94,88601107.06,,,,,,
,,,,,717,104103014.1,35701333.89,,,,,,
,,,,,718,80998047.15,-67196292.15,,,,,,
,,,,,719,65594735.83,96405264.17,,,,,,
,,,,,720,88699702.8,-14699702.8,,,,,,
,,,,,721,101535795.6,-90848954.56,,,,,,
,,,,,722,50191424.52,127785801.5,,,,,,
,,,,,723,57893080.18,-26281855.18,,,,,,
,,,,,724,116939106.9,108994328.1,,,,,,
,,,,,725,45056987.42,34025527.58,,,,,,
,,,,,726,75863610.04,-50758355.04,,,,,,
,,,,,727,73296391.49,49120997.51,,,,,,
,,,,,728,70729172.94,101634128.1,,,,,,
,,,,,729,88699702.8,-85436117.8,,,,,,
,,,,,730,106670232.7,1738363955,,,,,,
,,,,,731,68161954.39,264849113.6,,,,,,
,,,,,732,86132484.25,100751078.8,,,,,,
,,,,,733,101535795.6,-61862633.56,,,,,,
,,,,,734,88699702.8,-83014913.8,,,,,,
,,,,,735,114371888.3,-68182320.32,,,,,,
,,,,,736,98968577.01,-96502617.01,,,,,,
,,,,,737,78430828.59,-22936762.59,,,,,,
,,,,,738,63027517.28,-49991918.28,,,,,,
,,,,,739,86132484.25,-21875971.25,,,,,,
,,,,,740,98968577.01,-71768261.01,,,,,,
,,,,,741,39922550.31,-39922543.31,,,,,,
,,,,,742,55325861.63,-35455294.63,,,,,,
,,,,,743,78430828.59,-60970808.59,,,,,,
,,,,,744,83565265.7,-58332976.7,,,,,,
,,,,,745,93834139.91,-93531935.91,,,,,,
,,,,,746,34788113.21,65211886.79,,,,,,
,,,,,747,68161954.39,-56958928.39,,,,,,
,,,,,748,68161954.39,-48957025.39,,,,,,
,,,,,749,60460298.73,-60368749.73,,,,,,
,,,,,750,47624205.97,-33572821.97,,,,,,
,,,,,751,80998047.15,42308939.85,,,,,,
,,,,,752,63027517.28,-49927517.28,,,,,,
,,,,,753,98968577.01,215209434,,,,,,
,,,,,754,80998047.15,-78443571.15,,,,,,
,,,,,755,73296391.49,29071013.51,,,,,,
,,,,,756,75863610.04,583809.9579,,,,,,
,,,,,757,65594735.83,10405264.17,,,,,,
,,,,,758,75863610.04,-8663610.042,,,,,,
,,,,,759,111804669.8,-111636207.8,,,,,,
,,,,,760,65594735.83,-64512778.83,,,,,,
,,,,,761,52758643.07,-50701450.07,,,,,,
,,,,,762,57893080.18,-10987191.18,,,,,,
,,,,,763,19384801.9,-14822655.9,,,,,,
,,,,,764,55325861.63,-55054486.63,,,,,,
,,,,,765,73296391.49,-72576317.49,,,,,,
,,,,,766,42489768.87,93669654.13,,,,,,
,,,,,767,96401358.46,-82566228.46,,,,,,
,,,,,768,80998047.15,117687066.9,,,,,,
,,,,,769,45056987.42,-37071058.42,,,,,,
,,,,,770,86132484.25,-64564631.25,,,,,,
,,,,,771,68161954.39,-66181616.39,,,,,,
,,,,,772,-8854602.172,8900381.172,,,,,,
,,,,,773,29653676.11,-10488116.11,,,,,,
,,,,,774,24519239,-20946796,,,,,,
,,,,,775,73296391.49,-72870603.49,,,,,,
,,,,,776,70729172.94,-43722029.94,,,,,,
,,,,,777,170850696.5,-170285104.5,,,,,,
,,,,,778,96401358.46,-82305037.46,,,,,,
,,,,,779,65594735.83,74869928.17,,,,,,
,,,,,780,55325861.63,-47298890.63,,,,,,
,,,,,781,91266921.35,-53094421.35,,,,,,
,,,,,782,50191424.52,328822869.5,,,,,,
,,,,,783,75863610.04,-46660726.04,,,,,,
,,,,,784,98968577.01,-88288302.01,,,,,,
,,,,,785,65594735.83,-59715481.83,,,,,,
,,,,,786,75863610.04,52174757.96,,,,,,
,,,,,787,57893080.18,106106919.8,,,,,,
,,,,,788,70729172.94,-45124157.94,,,,,,
,,,,,789,75863610.04,-73934442.04,,,,,,
,,,,,790,70729172.94,-70729148.94,,,,,,
,,,,,791,91266921.35,-89932135.35,,,,,,
,,,,,792,109237451.2,195082802.8,,,,,,
,,,,,793,83565265.7,105633047.3,,,,,,
,,,,,794,52758643.07,241697961.9,,,,,,
,,,,,795,80998047.15,-3252479.146,,,,,,
,,,,,796,98968577.01,-96593480.01,,,,,,
,,,,,797,80998047.15,472801518.9,,,,,,
,,,,,798,75863610.04,209580993,,,,,,
,,,,,799,73296391.49,-18613844.49,,,,,,
,,,,,800,96401358.46,-93180206.46,,,,,,
,,,,,801,80998047.15,288886603.9,,,,,,
,,,,,802,42489768.87,-38131768.87,,,,,,
,,,,,803,80998047.15,-78404047.15,,,,,,
,,,,,804,32220894.66,-24590894.66,,,,,,
,,,,,805,96401358.46,-91941358.46,,,,,,
,,,,,806,98968577.01,-91535476.01,,,,,,
,,,,,807,91266921.35,-85266921.35,,,,,,
,,,,,808,86132484.25,-72632484.25,,,,,,
,,,,,809,91266921.35,-74966921.35,,,,,,
,,,,,810,104103014.1,-93103014.11,,,,,,
,,,,,811,109237451.2,-85587451.22,,,,,,
,,,,,812,88699702.8,-80899702.8,,,,,,
,,,,,813,83565265.7,-47565265.7,,,,,,
,,,,,814,98968577.01,-68468577.01,,,,,,
,,,,,815,119506325.4,-109906325.4,,,,,,
,,,,,816,98968577.01,-95968577.01,,,,,,
,,,,,817,93834139.91,-50177317.91,,,,,,
,,,,,818,70729172.94,-33129172.94,,,,,,
,,,,,819,106670232.7,-78320232.67,,,,,,
,,,,,820,106670232.7,-79290254.67,,,,,,
,,,,,821,93834139.91,-56431262.91,,,,,,
,,,,,822,104103014.1,-59317961.11,,,,,,
,,,,,823,104103014.1,-62944257.11,,,,,,
,,,,,824,106670232.7,10564914.33,,,,,,
,,,,,825,104103014.1,2156985.886,,,,,,
,,,,,826,91266921.35,-32294017.35,,,,,,
,,,,,827,93834139.91,34665065.09,,,,,,
,,,,,828,104103014.1,-60118784.11,,,,,,
,,,,,829,109237451.2,303562548.8,,,,,,
,,,,,830,93834139.91,51959156.09,,,,,,
,,,,,831,86132484.25,-83832484.25,,,,,,
,,,,,832,96401358.46,-83671441.46,,,,,,
,,,,,833,114371888.3,-62846717.32,,,,,,
,,,,,834,60460298.73,-30461085.73,,,,,,
,,,,,835,80998047.15,-36204825.15,,,,,,
,,,,,836,63027517.28,9472482.718,,,,,,
,,,,,837,55325861.63,-33157502.63,,,,,,
,,,,,838,45056987.42,-10184954.42,,,,,,
,,,,,839,78430828.59,-18676227.59,,,,,,
,,,,,840,68161954.39,-46439178.39,,,,,,
,,,,,841,60460298.73,-23770231.73,,,,,,
,,,,,842,65594735.83,-32613855.83,,,,,,
,,,,,843,45056987.42,-23126569.42,,,,,,
,,,,,844,60460298.73,-40988241.73,,,,,,
,,,,,845,50191424.52,-31021423.52,,,,,,
,,,,,846,37355331.76,-23355331.76,,,,,,
,,,,,847,104103014.1,-34103014.11,,,,,,
,,,,,848,78430828.59,-52897010.59,,,,,,
,,,,,849,42489768.87,-28089768.87,,,,,,
,,,,,850,65594735.83,-47825978.83,,,,,,
,,,,,851,50191424.52,-38549170.52,,,,,,
,,,,,852,68161954.39,-53365718.39,,,,,,
,,,,,853,68161954.39,-65478435.39,,,,,,
,,,,,854,75863610.04,-31666926.04,,,,,,
,,,,,855,63027517.28,-27263912.28,,,,,,
,,,,,856,55325861.63,-34765606.63,,,,,,
,,,,,857,96401358.46,25798641.54,,,,,,
,,,,,858,63027517.28,-22030852.28,,,,,,
,,,,,859,32220894.66,-18076894.66,,,,,,
,,,,,860,106670232.7,334635912.3,,,,,,
,,,,,861,29653676.11,1095465.893,,,,,,
,,,,,862,70729172.94,-31704921.94,,,,,,
,,,,,863,93834139.91,26372987.09,,,,,,
,,,,,864,86132484.25,141721501.8,,,,,,
,,,,,865,78430828.59,243300698.4,,,,,,
,,,,,866,91266921.35,61816180.65,,,,,,
,,,,,867,75863610.04,-34381403.04,,,,,,
,,,,,868,104103014.1,-42599796.11,,,,,,
,,,,,869,75863610.04,174424913,,,,,,
,,,,,870,88699702.8,-85099702.8,,,,,,
,,,,,871,119506325.4,-118855903.4,,,,,,
,,,,,872,104103014.1,227896985.9,,,,,,
,,,,,873,96401358.46,148126224.5,,,,,,
,,,,,874,101535795.6,-16972677.56,,,,,,
,,,,,875,88699702.8,178747447.2,,,,,,
,,,,,876,96401358.46,-61730638.46,,,,,,
,,,,,877,80998047.15,-50072357.15,,,,,,
,,,,,878,93834139.91,-85460554.91,,,,,,
,,,,,879,96401358.46,40364703.54,,,,,,
,,,,,880,78430828.59,-77153427.59,,,,,,
,,,,,881,93834139.91,-92774083.91,,,,,,
,,,,,882,55325861.63,-37818493.63,,,,,,
,,,,,883,52758643.07,-33758643.07,,,,,,
,,,,,884,116939106.9,364901802.1,,,,,,
,,,,,885,47624205.97,-45603505.97,,,,,,
,,,,,886,80998047.15,-59709355.15,,,,,,
,,,,,887,70729172.94,-34887271.94,,,,,,
,,,,,888,65594735.83,-57441058.83,,,,,,
,,,,,889,63027517.28,-17417107.28,,,,,,
,,,,,890,75863610.04,-62972858.04,,,,,,
,,,,,891,91266921.35,-72702308.35,,,,,,
,,,,,892,91266921.35,-52641371.35,,,,,,
,,,,,893,80998047.15,-41483334.15,,,,,,
,,,,,894,37355331.76,21307120.24,,,,,,
,,,,,895,70729172.94,151994999.1,,,,,,
,,,,,896,88699702.8,-44152021.8,,,,,,
,,,,,897,65594735.83,-58567445.83,,,,,,
,,,,,898,104103014.1,-97396646.11,,,,,,
,,,,,899,101535795.6,-90904462.56,,,,,,
,,,,,900,104103014.1,7755348.886,,,,,,
,,,,,901,101535795.6,-94317455.56,,,,,,
,,,,,902,83565265.7,-46963265.7,,,,,,
,,,,,903,111804669.8,-103253441.8,,,,,,
,,,,,904,78430828.59,-76295251.59,,,,,,
,,,,,905,91266921.35,2333078.646,,,,,,
,,,,,906,98968577.01,123331423,,,,,,
,,,,,907,78430828.59,-27678491.59,,,,,,
,,,,,908,98968577.01,-71687070.01,,,,,,
,,,,,909,88699702.8,127180311.2,,,,,,
,,,,,910,93834139.91,-6429488.906,,,,,,
,,,,,911,83565265.7,-36133804.7,,,,,,
,,,,,912,86132484.25,-14916615.25,,,,,,
,,,,,913,57893080.18,-41500080.18,,,,,,
,,,,,914,83565265.7,-72427464.7,,,,,,
,,,,,915,75863610.04,-13863610.04,,,,,,
,,,,,916,88699702.8,-37699702.8,,,,,,
,,,,,917,83565265.7,-77909178.7,,,,,,
,,,,,918,70729172.94,-907838.9382,,,,,,
,,,,,919,70729172.94,-67391487.94,,,,,,
,,,,,920,83565265.7,-50565265.7,,,,,,
,,,,,921,86132484.25,-80500398.25,,,,,,
,,,,,922,60460298.73,-5418560.73,,,,,,
,,,,,923,93834139.91,-19872720.91,,,,,,
,,,,,924,80998047.15,-62801877.15,,,,,,
,,,,,925,29653676.11,-18070785.11,,,,,,
,,,,,926,91266921.35,-57569274.35,,,,,,
,,,,,927,96401358.46,236598641.5,,,,,,
,,,,,928,70729172.94,-40257752.94,,,,,,
,,,,,929,91266921.35,-70500305.35,,,,,,
,,,,,930,55325861.63,-47892198.63,,,,,,
,,,,,931,60460298.73,-39260298.73,,,,,,
,,,,,932,57893080.18,-43893080.18,,,,,,
,,,,,933,75863610.04,-48763583.04,,,,,,
,,,,,934,86132484.25,105369941.8,,,,,,
,,,,,935,63027517.28,40863891.72,,,,,,
,,,,,936,-8854602.172,8895144.172,,,,,,
,,,,,937,86132484.25,-73402806.25,,,,,,
,,,,,938,114371888.3,-80635199.32,,,,,,
,,,,,939,83565265.7,-49196790.7,,,,,,
,,,,,940,78430828.59,-39496780.59,,,,,,
,,,,,941,52758643.07,241697961.9,,,,,,
,,,,,942,52758643.07,76010701.93,,,,,,
,,,,,943,101535795.6,-97822027.56,,,,,,
,,,,,944,106670232.7,-92004499.67,,,,,,
,,,,,945,101535795.6,-60958794.56,,,,,,
,,,,,946,83565265.7,976736.302,,,,,,
,,,,,947,73296391.49,-32530350.49,,,,,,
,,,,,948,73296391.49,-57794279.49,,,,,,
,,,,,949,91266921.35,-67580894.35,,,,,,
,,,,,950,83565265.7,-43093602.7,,,,,,
,,,,,951,68161954.39,-30358082.39,,,,,,
,,,,,952,42489768.87,-34689768.87,,,,,,
,,,,,953,96401358.46,-36401358.46,,,,,,
,,,,,954,32220894.66,-21996778.66,,,,,,
,,,,,955,27086457.56,21498958.44,,,,,,
,,,,,956,68161954.39,-30489604.39,,,,,,
,,,,,957,106670232.7,-73274806.67,,,,,,
,,,,,958,93834139.91,-73675331.91,,,,,,
,,,,,959,55325861.63,-39042194.63,,,,,,
,,,,,960,65594735.83,-60883986.83,,,,,,
,,,,,961,80998047.15,50185482.85,,,,,,
,,,,,962,57893080.18,-57893065.18,,,,,,
,,,,,963,96401358.46,-23074692.46,,,,,,
,,,,,964,114371888.3,-112171888.3,,,,,,
,,,,,965,86132484.25,-78232484.25,,,,,,
,,,,,966,98968577.01,-86368577.01,,,,,,
,,,,,967,70729172.94,-64729172.94,,,,,,
,,,,,968,78430828.59,-65430828.59,,,,,,
,,,,,969,98968577.01,-91968577.01,,,,,,
,,,,,970,91266921.35,-89266921.35,,,,,,
,,,,,971,101535795.6,-91285795.56,,,,,,
,,,,,972,91266921.35,-84266921.35,,,,,,
,,,,,973,109237451.2,-102237451.2,,,,,,
,,,,,974,55325861.63,-38568698.63,,,,,,
,,,,,975,106670232.7,-106670029.7,,,,,,
,,,,,976,78430828.59,-66017178.59,,,,,,
,,,,,977,91266921.35,-33997058.35,,,,,,
,,,,,978,109237451.2,-32966997.22,,,,,,
,,,,,979,96401358.46,-91901358.46,,,,,,
,,,,,980,101535795.6,-91285795.56,,,,,,
,,,,,981,91266921.35,-68345023.35,,,,,,
,,,,,982,91266921.35,-90765103.35,,,,,,
,,,,,983,80998047.15,-80964491.15,,,,,,
,,,,,984,80998047.15,-62744632.15,,,,,,
,,,,,985,78430828.59,-77653405.59,,,,,,
,,,,,986,73296391.49,-50813439.49,,,,,,
,,,,,987,88699702.8,-37450298.8,,,,,,
,,,,,988,80998047.15,22175587.85,,,,,,
,,,,,989,63027517.28,-41540760.28,,,,,,
,,,,,990,98968577.01,-78931840.01,,,,,,
,,,,,991,42489768.87,-19210837.87,,,,,,
,,,,,992,47624205.97,-16935345.97,,,,,,
,,,,,993,45056987.42,-38056987.42,,,,,,
,,,,,994,65594735.83,-46994735.83,,,,,,
,,,,,995,57893080.18,-19190770.18,,,,,,
,,,,,996,65594735.83,-46719724.83,,,,,,
,,,,,997,42489768.87,-34009975.87,,,,,,
,,,,,998,96401358.46,146838819.5,,,,,,
,,,,,999,63027517.28,203586541.7,,,,,,
,,,,,1000,88699702.8,155687161.2,,,,,,
,,,,,1001,63027517.28,-62903023.28,,,,,,
,,,,,1002,93834139.91,-92052134.91,,,,,,
,,,,,1003,88699702.8,-47088818.8,,,,,,
,,,,,1004,57893080.18,14634514.82,,,,,,
,,,,,1005,78430828.59,-76355744.59,,,,,,
,,,,,1006,96401358.46,-96400959.46,,,,,,
,,,,,1007,98968577.01,-98468577.01,,,,,,
,,,,,1008,114371888.3,-94742128.32,,,,,,
,,,,,1009,91266921.35,-69560820.35,,,,,,
,,,,,1010,91266921.35,-80877918.35,,,,,,
,,,,,1011,106670232.7,-53670232.67,,,,,,
,,,,,1012,68161954.39,103595908.6,,,,,,
,,,,,1013,68161954.39,-65964033.39,,,,,,
,,,,,1014,65594735.83,-35263570.83,,,,,,
,,,,,1015,88699702.8,-17214659.8,,,,,,
,,,,,1016,34788113.21,-34156892.21,,,,,,
,,,,,1017,80998047.15,-49325140.15,,,,,,
,,,,,1018,101535795.6,-37447243.56,,,,,,
,,,,,1019,83565265.7,-43164608.7,,,,,,
,,,,,1020,91266921.35,-59413841.35,,,,,,
,,,,,1021,116939106.9,-90928242.87,,,,,,
,,,,,1022,55325861.63,-4654011.627,,,,,,
,,,,,1023,75863610.04,-29180233.04,,,,,,
,,,,,1024,104103014.1,-101295624.1,,,,,,
,,,,,1025,70729172.94,-56161289.94,,,,,,
,,,,,1026,63027517.28,-46702944.28,,,,,,
,,,,,1027,124640762.5,-100765635.5,,,,,,
,,,,,1028,52758643.07,-39855853.07,,,,,,
,,,,,1029,88699702.8,-82248074.8,,,,,,
,,,,,1030,70729172.94,45943739.06,,,,,,
,,,,,1031,65594735.83,120396910.2,,,,,,
,,,,,1032,98968577.01,-16817935.01,,,,,,
,,,,,1033,91266921.35,-90213133.35,,,,,,
,,,,,1034,45056987.42,-5054875.419,,,,,,
,,,,,1035,91266921.35,51673178.65,,,,,,
,,,,,1036,93834139.91,-85898127.91,,,,,,
,,,,,1037,93834139.91,-91007616.91,,,,,,
,,,,,1038,86132484.25,-80338300.25,,,,,,
,,,,,1039,45056987.42,-40956987.42,,,,,,
,,,,,1040,86132484.25,164517351.8,,,,,,
,,,,,1041,63027517.28,37464165.72,,,,,,
,,,,,1042,88699702.8,274559156.2,,,,,,
,,,,,1043,73296391.49,-67296391.49,,,,,,
,,,,,1044,86132484.25,-82032484.25,,,,,,
,,,,,1045,111804669.8,-101804669.8,,,,,,
,,,,,1046,111804669.8,-101804669.8,,,,,,
,,,,,1047,32220894.66,-27509674.66,,,,,,
,,,,,1048,68161954.39,-40761954.39,,,,,,
,,,,,1049,93834139.91,-69367139.91,,,,,,
,,,,,1050,88699702.8,-29086814.8,,,,,,
,,,,,1051,63027517.28,-27876557.28,,,,,,
,,,,,1052,42489768.87,-35541135.87,,,,,,
,,,,,1053,73296391.49,-36684781.49,,,,,,
,,,,,1054,73296391.49,-18296740.49,,,,,,
,,,,,1055,68161954.39,84266005.61,,,,,,
,,,,,1056,80998047.15,65200848.85,,,,,,
,,,,,1057,57893080.18,-2293080.179,,,,,,
,,,,,1058,55325861.63,-11746698.63,,,,,,
,,,,,1059,39922550.31,-11861207.31,,,,,,
,,,,,1060,34788113.21,-15277742.21,,,,,,
,,,,,1061,34788113.21,-23220896.21,,,,,,
,,,,,1062,50191424.52,18940435.48,,,,,,
,,,,,1063,37355331.76,-26912015.76,,,,,,
,,,,,1064,11683146.24,-2435265.243,,,,,,
,,,,,1065,73296391.49,-63397979.49,,,,,,
,,,,,1066,127207981.1,-95207981.08,,,,,,
,,,,,1067,75863610.04,42136389.96,,,,,,
,,,,,1068,91266921.35,127346266.6,,,,,,
,,,,,1069,106670232.7,-89574179.67,,,,,,
,,,,,1070,88699702.8,200618091.2,,,,,,
,,,,,1071,78430828.59,-32166444.59,,,,,,
,,,,,1072,70729172.94,-47011881.94,,,,,,
,,,,,1073,93834139.91,-52423571.91,,,,,,
,,,,,1074,75863610.04,224536822,,,,,,
,,,,,1075,98968577.01,26244326.99,,,,,,
,,,,,1076,60460298.73,128555312.3,,,,,,
,,,,,1077,68161954.39,28611245.61,,,,,,
,,,,,1078,83565265.7,3006972.302,,,,,,
,,,,,1079,80998047.15,4315076.854,,,,,,
,,,,,1080,52758643.07,-27733724.07,,,,,,
,,,,,1081,91266921.35,108915238.6,,,,,,
,,,,,1082,83565265.7,186434734.3,,,,,,
,,,,,1083,83565265.7,216908450.3,,,,,,
,,,,,1084,50191424.52,69754933.48,,,,,,
,,,,,1085,96401358.46,-81757361.46,,,,,,
,,,,,1086,78430828.59,12827171.41,,,,,,
,,,,,1087,68161954.39,-54743863.39,,,,,,
